"period_type","start_date","end_date","salesman_fio","chif_fio","sales_count","sales_sum","max_overcharge_item","max_overcharge_percent"
week,2019-04-01,2019-04-07,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,554449,БСТ B30 П4 F1150 W10,6.97
month,2019-04-01,2019-04-30,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1324958,БСТ B40 П5 F1300 W14,30.95
week,2019-04-08,2019-04-14,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,770509,БСТ B40 П5 F1300 W14,30.95
month,2019-06-01,2019-06-30,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,927743,БСТ B40 П5 F1300 W14,50.00
week,2019-06-10,2019-06-16,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,47739,Формовка,34.40
week,2019-06-17,2019-06-23,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,880004,БСТ B40 П5 F1300 W14,50.00
month,2019-07-01,2019-07-31,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,1523049,"БСТ B22,5 П4 F1100 W6",17.00
week,2019-07-01,2019-07-07,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,933720,"Мелкозернистый бетон БСМ B 7,5 П3,П4",14.00
week,2019-07-15,2019-07-21,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,589329,"БСТ B22,5 П4 F1100 W6",17.00
month,2019-09-01,2019-09-30,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1124460,"БСТ B12,5 П3,П4",38.00
week,2019-09-23,2019-09-29,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1124460,"БСТ B12,5 П3,П4",38.00
month,2019-10-01,2019-10-31,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,4,2992002,БСТ B50 П5 F1300 W18,50.00
week,2019-10-07,2019-10-13,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1261047,БСТ B35 П5 F1200 W12,29.00
week,2019-10-14,2019-10-20,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,807450,БСТ B30 П4 F1150 W10,50.00
week,2019-10-28,2019-11-03,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,923505,БСТ B50 П5 F1300 W18,45.00
month,2019-11-01,2019-11-30,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,1130904,"БСТ B12,5 П3,П4",80.00
week,2019-11-11,2019-11-17,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,59616,Доставка,80.00
week,2019-11-18,2019-11-24,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1071288,"БСТ B12,5 П3,П4",41.00
month,2020-01-01,2020-01-31,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1298000,БСТ B30 П4 F1150 W10,46.00
week,2020-01-13,2020-01-19,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,512082,"БСТ B12,5 П3,П4",9.00
week,2020-01-20,2020-01-26,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,785918,БСТ B30 П4 F1150 W10,46.00
month,2018-11-01,2018-11-30,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,664224,Раствор кладочный М100 Пк3,76.66
week,2018-11-19,2018-11-25,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,664224,Раствор кладочный М100 Пк3,76.66
month,2018-12-01,2018-12-31,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,4044187,БСТ B30 П4 F1150 W10,237.58
week,2018-12-17,2018-12-23,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,3186736,БСТ B30 П4 F1150 W10,237.58
week,2018-12-31,2019-01-06,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,857451,БСТ B30 П4 F1200 W10,68.79
month,2019-01-01,2019-01-31,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,601392,Раствор кладочный М100 Пк3,46.72
week,2019-01-21,2019-01-27,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,601392,Раствор кладочный М100 Пк3,46.72
month,2019-02-01,2019-02-28,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,4,2229710,Раствор М200 Пк3,151.17
week,2019-02-18,2019-02-24,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,3,134410,Формовка,38.00
week,2019-02-25,2019-03-03,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,3,3369903,Раствор М200 Пк3,151.17
month,2019-03-01,2019-03-31,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,3,1754771,БСТ B30 П4 F1200 W10,28.71
week,2019-03-18,2019-03-24,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,480168,Раствор М150 Пк3,23.31
month,2019-04-01,2019-04-30,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,4,2644296,БСТ B35 П5 F1300 W12,54.97
week,2019-04-01,2019-04-07,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,862082,БСТ B35 П5 F1300 W12,54.97
week,2019-04-08,2019-04-14,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,639699,"БСТ B22,5 П4 F1100 W6",32.61
week,2019-04-22,2019-04-28,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,469165,Раствор М200 Пк3,12.48
week,2019-04-29,2019-05-05,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,673350,"БСТ B20 П3,П4",44.93
month,2019-05-01,2019-05-31,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,4,8925708,БСТ B25 П4 F1200 W10,184.00
week,2019-05-06,2019-05-12,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,3481980,"Мелкозернистый бетон БСМ B22,5 П3,П4",184.00
week,2019-05-13,2019-05-19,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,3109968,БСТ B25 П4 F1200 W10,176.00
week,2019-05-27,2019-06-02,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,2333760,Раствор кладочный М100 Пк3,160.00
month,2019-06-01,2019-06-30,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,3,1345910,БСТ B60 П5 F1300 W20,66.80
week,2019-06-10,2019-06-16,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,54293,Дегидрация,66.80
week,2019-06-17,2019-06-23,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,466752,Раствор кладочный М100 Пк3,4.00
week,2019-06-24,2019-06-30,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,824865,БСТ B60 П5 F1300 W20,27.00
month,2019-08-01,2019-08-31,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,1191734,Раствор М200 Пк3,34.00
week,2019-08-05,2019-08-11,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,1191734,Раствор М200 Пк3,34.00
month,2019-11-01,2019-11-30,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,763904,БСТ B45 П5 F1300 W16,28.00
week,2019-11-04,2019-11-10,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,763904,БСТ B45 П5 F1300 W16,28.00
month,2019-12-01,2019-12-31,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,4,1316410,БСТ B35 П5 F1200 W12,76.40
week,2019-12-02,2019-12-08,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,1218760,БСТ B35 П5 F1200 W12,42.00
week,2019-12-09,2019-12-15,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,40232,Дегидрация,23.60
week,2019-12-16,2019-12-22,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,57418,Дегидрация,76.40
month,2020-01-01,2020-01-31,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,3058718,"Мелкозернистый бетон БСМ B22,5 П3,П4",162.00
week,2020-01-27,2020-02-02,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,3,3660110,"Мелкозернистый бетон БСМ B22,5 П3,П4",162.00
month,2020-02-01,2020-02-29,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,2,1253786,"Мелкозернистый бетон БСМ B25 П3,П4",37.00
week,2020-02-10,2020-02-16,Дуболазов Венедикт Эрнестович,Кокоткин Аркадий Анатолиевич,1,652394,"Мелкозернистый бетон БСМ B25 П3,П4",37.00
month,2018-11-01,2018-11-30,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,824865,БСТ B60 П5 F1300 W20,36.34
week,2018-11-26,2018-12-02,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,824865,БСТ B60 П5 F1300 W20,36.34
month,2019-01-01,2019-01-31,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,2865512,БСТ B35 П5 F1300 W12,157.55
week,2019-01-07,2019-01-13,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,2865512,БСТ B35 П5 F1300 W12,157.55
month,2019-02-01,2019-02-28,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,859392,БСТ B45 П5 F1300 W16,51.35
week,2019-02-04,2019-02-10,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,859392,БСТ B45 П5 F1300 W16,51.35
month,2019-03-01,2019-03-31,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,1256962,БСТ B25 П4 F1200 W10,41.97
week,2019-03-18,2019-03-24,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,1256962,БСТ B25 П4 F1200 W10,41.97
week,2019-04-01,2019-04-07,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,587604,"Мелкозернистый бетон БСМ B 7,5 П3,П4",50.51
month,2019-04-01,2019-04-30,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,3,1889091,БСТ B40 П5 F1300 W14,50.51
week,2019-04-08,2019-04-14,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,855447,БСТ B40 П5 F1300 W14,45.39
week,2019-04-22,2019-04-28,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,446040,Раствор М100 Пк3,22.47
month,2019-05-01,2019-05-31,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,3,1588002,Раствор кладочный М100 Пк3,26.00
week,2019-05-06,2019-05-12,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,523026,"Мелкозернистый бетон БСМ B15 П3,П4",26.00
week,2019-05-20,2019-05-26,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,1064976,Раствор кладочный М100 Пк3,22.00
week,2019-05-27,2019-06-02,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,46481,Дегидрация,42.80
month,2019-06-01,2019-06-30,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,613159,"Мелкозернистый бетон БСМ B25 П3,П4",42.80
week,2019-06-03,2019-06-09,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,566678,"Мелкозернистый бетон БСМ B25 П3,П4",19.00
month,2019-07-01,2019-07-31,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,1246773,Раствор кладочный М100 Пк3,42.00
week,2019-07-22,2019-07-28,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,609477,"БСТ B22,5 П4 F1100 W6",21.00
week,2019-07-29,2019-08-04,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,637296,Раствор кладочный М100 Пк3,42.00
month,2019-08-01,2019-08-31,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,42958,Фасовка,35.60
week,2019-08-12,2019-08-18,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,42958,Фасовка,35.60
month,2019-09-01,2019-09-30,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,550735,"Мелкозернистый бетон БСМ B22,5 П3,П4",15.00
week,2019-09-09,2019-09-15,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,550735,"Мелкозернистый бетон БСМ B22,5 П3,П4",15.00
week,2019-10-28,2019-11-03,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,540766,"Мелкозернистый бетон БСМ B 7,5 П3,П4",27.00
month,2019-11-01,2019-11-30,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,3,1722005,Раствор М200 Пк3,35.00
week,2019-11-11,2019-11-17,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,566314,"Мелкозернистый бетон БСМ B 7,5 П3,П4",33.00
week,2019-11-25,2019-12-01,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,614925,Раствор М200 Пк3,35.00
month,2019-12-01,2019-12-31,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,5,2776005,БСТ B30 П4 F1200 W10,50.00
week,2019-12-02,2019-12-08,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,4,2194749,БСТ B30 П4 F1200 W10,50.00
week,2019-12-23,2019-12-29,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,581256,Раствор М150 Пк3,38.00
week,2019-12-30,2020-01-05,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,764442,БСТ B40 П5 F1300 W14,26.00
month,2020-01-01,2020-01-31,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,3,4929789,БСТ B30 П4 F1200 W10,192.00
week,2020-01-06,2020-01-12,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,758875,БСТ B35 П5 F1300 W12,25.00
week,2020-01-13,2020-01-19,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,3406472,БСТ B30 П4 F1200 W10,192.00
week,2020-01-27,2020-02-02,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,1,602768,БСТ B45 П5 F1300 W16,1.00
month,2020-02-01,2020-02-29,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,3,1728449,Раствор М200 Пк3,35.00
week,2020-02-03,2020-02-09,Жилов Всеволод Иосифович,Коченкова Розалия Федоровна,2,1125681,Раствор М200 Пк3,35.00
month,2018-11-01,2018-11-30,Касатый Ника Федотовна,Касатый Ника Федотовна,3,832672,БСТ B40 П5 F1300 W14,42.80
week,2018-11-19,2018-11-25,Касатый Ника Федотовна,Касатый Ника Федотовна,2,785377,БСТ B40 П5 F1300 W14,38.45
week,2018-11-26,2018-12-02,Касатый Ника Федотовна,Касатый Ника Федотовна,1,47295,Доставка,42.80
month,2018-12-01,2018-12-31,Касатый Ника Федотовна,Касатый Ника Федотовна,4,2599179,БСТ B35 П5 F1200 W12,67.90
week,2018-12-03,2018-12-09,Касатый Ника Федотовна,Касатый Ника Федотовна,1,523113,"БСТ B 7,5 П3,П4",32.10
week,2018-12-17,2018-12-23,Касатый Ника Федотовна,Касатый Ника Федотовна,1,579198,БСТ B35 П5 F1200 W12,19.92
week,2018-12-24,2018-12-30,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1496868,БСТ B35 П5 F1200 W12,67.90
month,2019-02-01,2019-02-28,Касатый Ника Федотовна,Касатый Ника Федотовна,3,2200753,БСТ B50 П5 F1300 W18,53.58
week,2019-02-11,2019-02-17,Касатый Ника Федотовна,Касатый Ника Федотовна,1,713550,"БСТ B20 П3,П4",53.58
week,2019-02-25,2019-03-03,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1487203,БСТ B50 П5 F1300 W18,39.63
month,2019-03-01,2019-03-31,Касатый Ника Федотовна,Касатый Ника Федотовна,1,602768,БСТ B45 П5 F1300 W16,6.16
week,2019-03-11,2019-03-17,Касатый Ника Федотовна,Касатый Ника Федотовна,1,602768,БСТ B45 П5 F1300 W16,6.16
month,2019-04-01,2019-04-30,Касатый Ника Федотовна,Касатый Ника Федотовна,1,537675,"БСТ B20 П3,П4",15.73
week,2019-04-15,2019-04-21,Касатый Ника Федотовна,Касатый Ника Федотовна,1,537675,"БСТ B20 П3,П4",15.73
week,2019-04-29,2019-05-05,Касатый Ника Федотовна,Касатый Ника Федотовна,1,543683,БСТ B30 П4 F1150 W10,1.00
month,2019-05-01,2019-05-31,Касатый Ника Федотовна,Касатый Ника Федотовна,5,3271425,БСТ B30 П4 F1200 W10,47.00
week,2019-05-20,2019-05-26,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1053671,"Мелкозернистый бетон БСМ B15 П3,П4",41.00
week,2019-05-27,2019-06-02,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1674071,БСТ B30 П4 F1200 W10,47.00
month,2019-08-01,2019-08-31,Касатый Ника Федотовна,Касатый Ника Федотовна,1,434889,Раствор М100 Пк3,17.00
week,2019-08-26,2019-09-01,Касатый Ника Федотовна,Касатый Ника Федотовна,1,434889,Раствор М100 Пк3,17.00
month,2019-09-01,2019-09-30,Касатый Ника Федотовна,Касатый Ника Федотовна,2,94270,Доставка,60.80
week,2019-09-16,2019-09-22,Касатый Ника Федотовна,Касатый Ника Федотовна,1,41013,Дегидрация,26.00
week,2019-09-23,2019-09-29,Касатый Ника Федотовна,Касатый Ника Федотовна,1,53257,Доставка,60.80
month,2019-10-01,2019-10-31,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1008435,Раствор кладочный М100 Пк3,32.00
week,2019-10-14,2019-10-20,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1008435,Раствор кладочный М100 Пк3,32.00
month,2019-11-01,2019-11-30,Касатый Ника Федотовна,Касатый Ника Федотовна,3,1791259,"БСТ B12,5 П3,П4",40.00
week,2019-11-04,2019-11-10,Касатый Ника Федотовна,Касатый Ника Федотовна,1,657720,"БСТ B12,5 П3,П4",40.00
week,2019-11-11,2019-11-17,Касатый Ника Федотовна,Касатый Ника Федотовна,1,579469,"Мелкозернистый бетон БСМ B22,5 П3,П4",21.00
week,2019-11-18,2019-11-24,Касатый Ника Федотовна,Касатый Ника Федотовна,1,554070,"БСТ B22,5 П4 F1100 W6",10.00
month,2019-12-01,2019-12-31,Касатый Ника Федотовна,Касатый Ника Федотовна,4,1967837,БСТ B45 П5 F1300 W16,78.80
week,2019-12-02,2019-12-08,Касатый Ника Федотовна,Касатый Ника Федотовна,1,661918,"Мелкозернистый бетон БСМ B25 П3,П4",39.00
week,2019-12-09,2019-12-15,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1246700,БСТ B45 П5 F1300 W16,26.00
week,2019-12-16,2019-12-22,Касатый Ника Федотовна,Касатый Ника Федотовна,1,59219,Доставка,78.80
month,2020-01-01,2020-01-31,Касатый Ника Федотовна,Касатый Ника Федотовна,2,1185016,"БСТ B20 П3,П4",24.00
week,2020-01-06,2020-01-12,Касатый Ника Федотовна,Касатый Ника Федотовна,1,623100,"БСТ B20 П3,П4",24.00
week,2020-01-20,2020-01-26,Касатый Ника Федотовна,Касатый Ника Федотовна,1,561916,"Мелкозернистый бетон БСМ B25 П3,П4",18.00
month,2018-11-01,2018-11-30,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,1,837360,Пусковая смесь,33.98
week,2018-11-19,2018-11-25,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,1,837360,Пусковая смесь,33.98
month,2018-12-01,2018-12-31,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,5,2416368,БСТ B45 П5 F1300 W16,46.40
week,2018-12-10,2018-12-16,Ковпака Людмила Степановна,Янушко Анастасия Антониновна,2,542168,Раствор кладочный М100 Пк3,46.40
